,mean_orig,sd_orig,mean_zero,sd_zero,mean_orthog,sd_orthog,mean_eval,sd_eval
train_v1,0.9692879676818847,0.000544164688386848,0.9020279765129089,0.0019211762860050032,0.904967987537384,0.0012110611331187105,0.9067479848861695,0.001976983032846037
test_v1,0.9371199607849121,0.002798565085296724,0.8907599806785583,0.002734588492142706,0.8947199821472168,0.0023488298593341444,0.8968599677085877,0.002265620268212135
recon_v1,,,0.472519987821579,0.011669497396548857,0.6244599938392639,0.016458373158075797,0.6452799797058105,0.016174587836267514
train_v2,0.9412559866905212,0.001454132434732079,0.8664639830589295,0.001047142000607225,0.8720519661903381,0.0015436724340673006,0.8732199668884277,0.001051481956149903
test_v2,0.9085399746894837,0.0015372001611666994,0.8589199781417847,0.002708686776174085,0.8649999737739563,0.0021920236016764426,0.8650599718093872,0.0018849285084115393
recon_v2,,,0.5190999865531921,0.0101291600040888,0.6454599857330322,0.011758119487515458,0.6709799885749816,0.014550164725107133
recon_train_v1,,,0.7751519918441773,0.010776887622787681,0.8072559833526611,0.010392175418321586,0.8048519849777221,0.0054076875707773425
recon_test_v1,,,0.7727999806404113,0.009150144039670726,0.8022599697113038,0.01047271492178254,0.8026799917221069,0.002862171936907133
recon_train_v2,,,0.8102239727973938,0.013235205468521357,0.8439279794692993,0.011393886788009611,0.8358879804611206,0.008386904295743491
recon_test_v2,,,0.7878799676895142,0.01380894409903885,0.8328999757766724,0.012931159305224128,0.823639976978302,0.008591746319716683
train_both,0.9988359928131103,0.00026169076462955707,0.9763359785079956,0.000696901872541687,0.9765279769897461,0.0008194702153451961,0.9763399720191955,0.0016468180111929328
test_both,0.9806999683380127,0.0007314299698035111,0.9653599619865417,0.001504330665878196,0.9659199833869934,0.00216725939511008,0.9636799693107605,0.002353093343072422
recon_both1,,,0.7987399697303772,0.009701177019415919,0.8316199898719787,0.0066803374016657134,0.8402999758720398,0.004367501473136158
recon_both2,,,0.7377999901771546,0.010601175552320288,0.7986599802970886,0.01200282366462693,0.8050999879837036,0.00976651684112226
recon_both,,,0.5275799751281738,0.01497654639518382,0.655299985408783,0.011966832928037787,0.6683799862861634,0.01344365736898846
au1,,,12.0,0.0,17.0,1.5811388300841898,13.2,0.4472135954999579
au2,,,12.4,0.5477225575051662,17.0,1.224744871391589,13.2,0.8366600265340756
loss1,,,24.450681304931642,0.31615853081902423,24.03443832397461,0.2600708503163276,23.957772064208985,0.3332790024888636
loss2,,,25.696591949462892,0.36857638947426546,24.809428024291993,0.44527351926744124,25.000250625610352,0.4026468565239363
recon_loss1,,,114.12879180908203,2.330269287440358,107.58251495361328,1.2161204714486136,106.63760375976562,1.3971911269089758
recon_loss2,,,127.4674560546875,3.152711936563492,120.15657196044921,2.9481023089282927,117.44074401855468,4.087456977501414
